id,context,english
contract.exit_via.breach,"Breach reason for leaving by the wrong exit. {room} is the named one.",[you left by the wrong exit - the contract named the {room}]

# --- key bindings: palette actions ----------------------------------------
keymap.action.wait.label,Palette label for the wait key. Must fit 14 columns with brackets.,[wait]
keymap.action.wait.help,Help line for the wait key.,[let a turn pass; Space does the same]
keymap.action.crouch.label,Palette label for crouch.,[crouch]
keymap.action.crouch.help,Help line for crouch.,"[crouch: quieter and harder to see, but slower to read the room]"
keymap.action.draw.label,Palette label for draw/holster. Exactly fills the 14-column palette cell.,[draw/holster]
keymap.action.draw.help,Help line for draw/holster.,[draw or put away a firearm; drawn weapons alarm anyone who sees them]
keymap.action.garrote.label,Palette label for garrote.,[garrote]
keymap.action.garrote.help,Help line for garrote.,"[garrote someone from behind: silent, and lethal]"
keymap.action.shoot.label,Palette label for shoot.,[shoot]
keymap.action.shoot.help,Help line for shoot.,"[shoot a visible target; f cycles targets, Enter fires]"
keymap.action.pickpocket.label,Palette label for pickpocket.,[pickpocket]
keymap.action.pickpocket.help,Help line for pickpocket.,"[steal from the living, loot the dead]"
keymap.action.disguise.label,Palette label for taking a disguise.,[disguise]
keymap.action.disguise.help,Help line for taking a disguise.,[take clothes from a body or a wardrobe; needs free hands]
keymap.action.carry.label,Palette label for carry/drop body.,[carry/drop]
keymap.action.carry.help,Help line for carry/drop body.,[pick up or put down a body; b again drops it on your own tile]
keymap.action.hide.label,Palette label for hide body.,[hide body]
keymap.action.hide.help,Help line for hide body.,[stow a carried body in a container so nobody finds it]
keymap.action.open.label,Palette label for open door.,[open door]
keymap.action.open.help,Help line for open door.,[open an adjacent door]
keymap.action.close.label,Palette label for close door.,[close door]
keymap.action.close.help,Help line for close door.,[close an adjacent door behind you]
keymap.action.lock.label,Palette label for pick lock.,[pick lock]
keymap.action.lock.help,Help line for pick lock.,"[pick a locked door: slow, and suspicious if seen]"
keymap.action.noise.label,Palette label for the noisemaker.,[noisemaker]
keymap.action.noise.help,Help line for the noisemaker.,[throw a noisemaker at a tile to pull people towards it]
keymap.action.machine.label,Palette label for using a machine.,[use machine]
keymap.action.machine.help,Help line for using a machine.,[use an adjacent opportunity machine]
keymap.action.look.label,Palette label for the free look cursor.,[look]
keymap.action.look.help,Help line for the free look cursor.,[free look cursor; costs no time and pauses nothing you planned]

# --- key bindings: non-palette controls ------------------------------------
keymap.control.move.short,Compact start-screen label for the arrow keys.,[move]
keymap.control.move.help,Help line for the arrow keys.,"[move, or aim whatever you are currently pointing]"
keymap.control.slot.short,Compact label for the inventory slot keys.,[read a slot]
keymap.control.slot.help,Help line for the inventory slot keys.,[read what an inventory slot holds]
keymap.control.speed.short,Compact label for the speed keys.,[speed]
keymap.control.speed.help,Help line for the speed keys.,[slow down or speed up the display; the run is unaffected]
keymap.control.cancel.short,Compact label for Escape.,[cancel]
keymap.control.cancel.help,Help line for Escape.,"[cancel what you are aiming, or stop what you planned]"
keymap.control.undo.short,Compact label for Backspace.,[take back]
keymap.control.undo.help,Help line for Backspace.,[take back the last thing you planned]
keymap.control.help.short,Compact label for the help key.,[help]
keymap.control.help.help,Help line for the help key.,[this help]
keymap.control.abandon.short,Compact label for the abandon key.,[abandon run]
keymap.control.abandon.help,Help line for the abandon key.,[abandon the run (asks first)]

# --- help overlay ----------------------------------------------------------
keymap.category.stance,Help overlay heading for movement and stance verbs.,[stance]
keymap.category.stealth,Help overlay heading for quiet verbs.,[quiet work]
keymap.category.force,Help overlay heading for loud verbs.,[force]
keymap.category.world,Help overlay heading for door and machine verbs.,[the room]
keymap.category.controls,Help overlay heading for the non-palette controls.,[getting around]
ui.mission.help.title,Title bar of the help overlay; also says how to leave it.,[ help - any key returns to the mission ]

# --- pacing labels ---------------------------------------------------------
speed.slow,Presentation pacing label.,[slow]
speed.normal,Presentation pacing label.,[normal]
speed.fast,Presentation pacing label.,[fast]
speed.instant,Presentation pacing label.,[instant]

# --- NPC states ------------------------------------------------------------
mood.relaxed,How an unaware NPC reads in the threat list.,[unaware]
mood.suspicious,How a suspicious NPC reads.,[suspicious]
mood.investigating,How an investigating NPC reads.,[investigating]
mood.alerted,How an alerted NPC reads.,[alerted]
mood.escorting,How an escorting NPC reads.,[escorting]
mood.combat,How an attacking NPC reads.,[attacking]
mood.fleeing,How a fleeing NPC reads.,[fleeing]

# --- roles and tiers -------------------------------------------------------
role.civilian,Role name shown in tile inspection.,[civilian]
role.bartender,Role name shown in tile inspection.,[bartender]
role.cleaner,Role name shown in tile inspection.,[cleaner]
role.technician,Role name shown in tile inspection.,[technician]
role.manager,Role name shown in tile inspection.,[manager]
role.guard,Role name shown in tile inspection.,[guard]
zone.public,Neutral access tier name; venues supply flavoured labels.,[public]
zone.secure,Neutral access tier name.,[secure]
zone.staff,Neutral access tier name.,[staff]
zone.personal,Neutral access tier name.,[personal]
approach.physical,Equipment catalogue play style.,[physical stealth]
approach.social,Equipment catalogue play style.,[social stealth]
approach.violence,Equipment catalogue play style.,[violence]

# --- venues ----------------------------------------------------------------
venue.nightclub.name,Venue name on the contract board and briefing.,[nightclub]
venue.nightclub.zone.public,What the nightclub calls its public tier.,[public]
venue.nightclub.zone.staff,What the nightclub calls its staff tier.,[staff]
venue.nightclub.zone.secure,What the nightclub calls its secure tier.,[VIP]
venue.nightclub.zone.personal,What the nightclub calls its personal tier.,[private]
venue.nightclub.invitation,What the nightclub calls its secure-tier invitation.,[VIP invitation]
venue.warehouse.name,Venue name on the contract board and briefing.,[bonded warehouse]
venue.warehouse.zone.public,What the warehouse calls its public tier.,[front-of-house]
venue.warehouse.zone.staff,What the warehouse calls its staff tier.,[the floor]
venue.warehouse.zone.secure,What the warehouse calls its secure tier.,[the cage]
venue.warehouse.zone.personal,What the warehouse calls its personal tier.,[management]
venue.warehouse.invitation,What the warehouse calls its secure-tier invitation.,[visitor pass]
venue.grand-hotel.name,Venue name on the contract board and briefing.,[grand hotel]
venue.grand-hotel.zone.public,What the hotel calls its public tier.,[the floor]
venue.grand-hotel.zone.staff,What the hotel calls its staff tier.,[back of house]
venue.grand-hotel.zone.secure,What the hotel calls its secure tier.,[the residence]
venue.grand-hotel.zone.personal,What the hotel calls its personal tier.,[private]
venue.grand-hotel.invitation,What the hotel calls its secure-tier invitation.,[residence key card]

# --- disguises -------------------------------------------------------------
disguise.civilian.name,Disguise name in the sidebar and briefing.,[civilian clothes]
disguise.staff.name,Disguise name in the sidebar and briefing.,[staff uniform]
disguise.guard.name,Disguise name in the sidebar and briefing.,[guard uniform]
disguise.manager.name,Disguise name in the sidebar and briefing.,[manager's suit]

# --- items -----------------------------------------------------------------
item.silenced-pistol.name,Item name in the shop and inventory.,[silenced pistol]
item.garrote.name,Item name in the shop and inventory.,[garrote]
item.lockpicks.name,Item name in the shop and inventory.,[lockpicks]
item.noisemaker.name,Item name in the shop and inventory.,[noisemaker charges]
item.forged-pass.name,Item name in the shop and inventory.,[forged staff pass]
item.counterfeit-invitation.name,Item name in the shop and inventory.,[counterfeit invitation]
item.vip-invitation.name,Item name in the inventory; carried by tagged VIP guests.,[VIP invitation]
item.office-key.name,Item name in the inventory.,[manager's office key]
item.security-key.name,Item name in the inventory.,[security office key]
item.service-master-key.name,Item name in the inventory; placed by the key cache.,[service master key]
item.foreman-key.name,Item name in the inventory.,[foreman's key]

# --- opportunity machines --------------------------------------------------
opportunity.fuse-box.name,Machine name in tile inspection.,[fuse box]
opportunity.fuse-box.risk,What using the fuse box costs you if seen.,[sparks fly; tampering in view of anyone is alarming]
opportunity.fuse-box.presentation,What the fuse box looks like from across the room.,"[a humming fuse box, its panel hanging open]"
opportunity.uniform-store.name,Machine name in tile inspection.,[uniform store]
opportunity.uniform-store.risk,What using the uniform store costs you.,[changing clothes takes time you may not have]
opportunity.uniform-store.presentation,What the uniform store looks like.,[a rack of pressed staff uniforms]
opportunity.rigged-hoist.name,Machine name in tile inspection.,[loading hoist]
opportunity.rigged-hoist.risk,What the rigged hoist does when triggered.,[the crate falls only on whoever stands beneath]
opportunity.rigged-hoist.presentation,What the rigged hoist looks like.,"[a strained cargo hoist, its brake lever within reach]"
opportunity.key-cache.name,Machine name in tile inspection.,[key cache]
opportunity.key-cache.risk,What taking from the key cache risks.,[someone may notice the master key is missing]
opportunity.key-cache.presentation,What the key cache looks like.,[a wall box of labelled duplicate keys]
opportunity.fire-alarm.name,Machine name in tile inspection.,[fire alarm]
opportunity.fire-alarm.risk,What pulling the fire alarm does.,[pulling it in view of anyone is alarming; the club will empty]
opportunity.fire-alarm.presentation,What the fire alarm looks like.,[a red fire alarm pull station]
opportunity.hint,"A discoverable machine on the briefing. {presentation} look, {room} where.",[{presentation} in {room}]

# --- room names ------------------------------------------------------------
room.entrance.name,Room name on the map panel and briefing.,[entrance hall]
room.dance-floor.name,Room name on the map panel and briefing.,[dance floor]
room.bar.name,Room name on the map panel and briefing.,[bar]
room.bathroom.name,Room name on the map panel and briefing.,[bathroom]
room.vip-lounge.name,Room name on the map panel and briefing.,[VIP lounge]
room.kitchen.name,Room name on the map panel and briefing.,[kitchen]
room.storage.name,Room name on the map panel and briefing.,[storage room]
room.maintenance.name,Room name on the map panel and briefing.,[maintenance room]
room.manager-office.name,Room name on the map panel and briefing.,[manager's office]
room.security-office.name,Room name on the map panel and briefing.,[security office]
room.loading-bay.name,Room name on the map panel and briefing.,[loading bay]
room.service-corridor.name,Room name on the map panel and briefing.,[service corridor]
room.reception.name,Room name on the map panel and briefing.,[reception]
room.dispatch-office.name,Room name on the map panel and briefing.,[dispatch office]
room.storage-floor.name,Room name on the map panel and briefing.,[storage floor]
room.break-room.name,Room name on the map panel and briefing.,[break room]
room.the-cage.name,Room name on the map panel and briefing.,[the cage]
room.foreman-office.name,Room name on the map panel and briefing.,[foreman's office]
room.dock.name,Room name on the map panel and briefing.,[loading dock]
room.corridor.name,Stands in for a room name outside any room.,[the corridor]

# --- districts (ordered pool; ids sort into campaign order) ----------------
campaign.district.01,Campaign district name on the contract board.,[Docklands]
campaign.district.02,Campaign district name on the contract board.,[Midtown]
campaign.district.03,Campaign district name on the contract board.,[The Neon Mile]

# --- why the target is marked (ordered pool, picked by mission seed) -------
briefing.reason.01,Elimination reason clause; reads after 'the target'.,[launders syndicate money through the club's books]
briefing.reason.02,Elimination reason clause; reads after 'the target'.,[sold the network's courier routes to a rival outfit]
briefing.reason.03,Elimination reason clause; reads after 'the target'.,[is about to testify to the licensing board]
briefing.reason.04,Elimination reason clause; reads after 'the target'.,[has been skimming protection payments for years]
briefing.reason.05,Elimination reason clause; reads after 'the target'.,[brokered the deal that got our last operative caught]
briefing.reason.06,Elimination reason clause; reads after 'the target'.,[keeps a ledger of names that must not surface]

# --- generated person names (ordered pools) --------------------------------
names.first.01,Given name for a generated actor.,[Adri]
names.first.02,Given name for a generated actor.,[Bruno]
names.first.03,Given name for a generated actor.,[Cass]
names.first.04,Given name for a generated actor.,[Dmitri]
names.first.05,Given name for a generated actor.,[Elena]
names.first.06,Given name for a generated actor.,[Femi]
names.first.07,Given name for a generated actor.,[Greta]
names.first.08,Given name for a generated actor.,[Hugo]
names.first.09,Given name for a generated actor.,[Ines]
names.first.10,Given name for a generated actor.,[Janek]
names.first.11,Given name for a generated actor.,[Kira]
names.first.12,Given name for a generated actor.,[Luca]
names.first.13,Given name for a generated actor.,[Mara]
names.first.14,Given name for a generated actor.,[Nadia]
names.first.15,Given name for a generated actor.,[Otto]
names.first.16,Given name for a generated actor.,[Priya]
names.first.17,Given name for a generated actor.,[Quentin]
names.first.18,Given name for a generated actor.,[Rosa]
names.first.19,Given name for a generated actor.,[Sasha]
names.first.20,Given name for a generated actor.,[Tomas]
names.first.21,Given name for a generated actor.,[Ulla]
names.first.22,Given name for a generated actor.,[Viktor]
names.first.23,Given name for a generated actor.,[Wanda]
names.first.24,Given name for a generated actor.,[Yusuf]
names.last.01,Family name for a generated actor.,[Aldana]
names.last.02,Family name for a generated actor.,[Barsotti]
names.last.03,Family name for a generated actor.,[Cervenka]
names.last.04,Family name for a generated actor.,[Dragomir]
names.last.05,Family name for a generated actor.,[Eklund]
names.last.06,Family name for a generated actor.,[Ferro]
names.last.07,Family name for a generated actor.,[Gallo]
names.last.08,Family name for a generated actor.,[Hettner]
names.last.09,Family name for a generated actor.,[Ivanova]
names.last.10,Family name for a generated actor.,[Jelen]
names.last.11,Family name for a generated actor.,[Kovac]
names.last.12,Family name for a generated actor.,[Lindqvist]
names.last.13,Family name for a generated actor.,[Moreau]
names.last.14,Family name for a generated actor.,[Novak]
names.last.15,Family name for a generated actor.,[Okafor]
names.last.16,Family name for a generated actor.,[Petrov]
names.last.17,Family name for a generated actor.,[Quist]
names.last.18,Family name for a generated actor.,[Ramos]
names.last.19,Family name for a generated actor.,[Sokolov]
names.last.20,Family name for a generated actor.,[Tanaka]
names.last.21,Family name for a generated actor.,[Ullmann]
names.last.22,Family name for a generated actor.,[Varga]
names.last.23,Family name for a generated actor.,[Weiss]
names.last.24,Family name for a generated actor.,[Zeman]
